lemme	modèle
abandonné	absent
abominable	agile
absent	absent
accompli	absent
acéré	absent
additionnel	ancien
adolescent	absent
adorable	agile
adulte	agile
affamé	absent
affreux	affreux
âgé	absent
agile	agile
agricole	agile
aimant	absent
aîné	absent
aisé	absent
allergique	agile
ami	absent
amoureux	affreux
animal	égal
ancien	ancien
angora	agile
apeuré	absent
appelé	absent
appétissant	absent
argenté	absent
armé	absent
arrière	agile
arrivé	absent
atroce	agile
attentif	attentif
australien	ancien
autoritaire	agile
autre	agile
avantageux	affreux
avare	agile
aventurier	complet
aveugle	agile
barbu	absent
bas	bas
bavard	absent
baveux	affreux
beau	beau
bée	bée
beige	agile
bête	agile
bidule	agile
bizarre	agile
blanc	blanc
blessé	absent
bleu	absent
blond	absent
bon	ancien
bonhomme	bonhomme
botté	absent
boueux	affreux
bouillant	absent
boulanger	complet
bravache	agile
bref	bref
brillant	absent
brûlant	absent
brun	absent
câlin	absent
calme	agile
capable	agile
cassé	absent
célèbre	agile
centième	agile
charmant	absent
chaud	absent
chauve	agile
cher	complet
clair	absent
claudicant	absent
climatique	agile
complet	complet
complice	agile
confiant	absent
conscient	absent
conséquent	absent
content	absent
contrôlable	agile
cool	agile
copain	copain
coquin	absent
correct	absent
coupable	agile
courageux	affreux
courant	absent
court	absent
critique	agile
crochu	absent
criant	absent
cru	absent
cruel	ancien
culinaire	agile
curieux	affreux
dangereux	affreux
débile	agile
débutant	absent
déçu	absent
délicieux	affreux
dégueulasse	agile
démoniaque	agile
dernier	complet
désagréable	agile
désert	absent
désespéré	absent
désolé	absent
diabolique	agile
différent	absent
difficile	agile
direct	absent
disco	agile
discret	complet
distinct	absent
dixième	agile
dodu	absent
domestique	agile
double	agile
doux	doux
droit	absent
drôle	agile
dur	absent
écoeurant	absent
effrayant	absent
égal	égal
électrique	agile
élégant	absent
élevé	absent
émeraude	agile
émotionnel	ancien
empoisonnant	absent
empoisonné	absent
ennemi	absent
ennuyeux	affreux
énorme	agile
ensoleillé	absent
entier	complet
épais	bas
épatant	absent
épouvantable	agile
épuisant	absent
éternel	ancien
étonné	absent
étrange	agile
étroit	absent
évident	absent
excellent	absent
existant	absent
explosant	absent
extérieur	absent
extraordinaire	agile
fâché	absent
facile	agile
faible	agile
fainéant	absent
fameux	affreux
familial	égal
fantastique	agile
fatigué	absent
faux	faux
favori	favori
femelle	agile
ferme	agile
fermé	absent
féroce	agile
festif	attentif
fidèle	agile
fier	complet
fin	absent
final	égal
fini	absent
flippant	absent
flou	absent
forain	absent
fort	absent
fou	fou
français	gris
froid	absent
froussard	absent
furax	furax
furieux	affreux
futé	absent
gaga	agile
gai	absent
gauche	agile
gelé	absent
général	égal
généreux	affreux
génial	égal
gentil	ancien
gigantesque	agile
glissant	absent
gluant	absent
gourmand	absent
grand	absent
gras	bas
gratuit	absent
grave	agile
grillé	absent
grinçant	absent
gris	gris
grognon	ancien
gros	bas
hallucinant	absent
hanté	absent
haut	absent
hebdomadaire	agile
heureux	affreux
hideux	affreux
horrible	agile
horrifique	agile
humain	absent
humble	agile
humide	agile
idéal	égal
idiot	absent
imaginaire	agile
immense	agile
immobile	agile
immortel	ancien
impatient	absent
important	absent
imposant	absent
impossible	agile
imprévu	absent
impulsif	attentif
inattendu	absent
incassable	agile
incompréhensible	agile
incroyable	agile
indemne	agile
inespéré	absent
inexplicable	agile
inexploré	absent
infini	absent
inhabité	absent
inhabituel	ancien
inimaginable	agile
innocent	absent
inquiet	complet
inséparable	agile
intact	absent
intelligent	absent
intérieur	absent
interminable	agile
intransigeant	absent
intrigant	absent
introuvable	agile
intrus	gris
inventeur	inventeur
inverse	agile
invincible	agile
invisible	agile
irritant	absent
jaloux	affreux
jaune	agile
jeune	agile
joli	absent
joyeux	affreux
juste	agile
laid	absent
large	agile
léger	complet
libre	agile
long	long
louche	agile
lourd	absent
loyal	absent
lucide	agile
lugubre	agile
luisant	absent
lumineux	affreux
machiavélique	agile
mage	agile
magique	agile
magnifique	agile
maigre	agile
mal	furax
malade	agile
maladroit	absent
maléfique	agile
malfaisant	absent
malheureux	affreux
malin	malin
marocain	absent
marrant	absent
marron	ancien
martien	ancien
massif	attentif
matériel	ancien
matinal	égal
maudit	absent
mauvais	gris
mécanicien	ancien
mécanique	agile
méchant	absent
mécontent	absent
meilleur	absent
mélancolique	agile
même	agile
menaçant	absent
ménager	complet
menteur	menteur
mère	bée
merveilleux	affreux
métallique	agile
mignon	ancien
mince	agile
mini	agile
minuscule	agile
mis	absent
misérable	agile
miteux	affreux
moche	agile
modeste	agile
moindre	agile
mondial	égal
monstrueux	affreux
moral	égal
morbide	agile
morose	agile
mort	absent
mou	fou
mouillé	absent
mouvement	absent
moyen	ancien
muet	ancien
multicolore	agile
municipal	égal
mûr	absent
musclé	absent
mystérieux	affreux
national	égal
nauséabond	absent
net	ancien
neutre	agile
noble	agile
noir	absent
nombreux	affreux
nommé	absent
normal	égal
nouveau	beau
nuageux	affreux
nul	ancien
obligatoire	agile
obscur	absent
opératoire	agile
optimiste	agile
orange	agile
ordinaire	agile
ouvert	absent
paisible	agile
parallèle	agile
paranormal	égal
pareil	ancien
parental	absent
parent	absent
parfait	absent
parlant	absent
partant	absent
particulier	complet
parti	absent
pauvre	agile
perçant	absent
perdu	absent
permanent	absent
persan	absent
petit	absent
physique	agile
piéton	ancien
pire	agile
pitoyable	agile
plaintif	attentif
plein	absent
poilu	absent
pointu	absent
populaire	agile
possible	agile
pourri	absent
poussiéreux	affreux
pratique	agile
précis	gris
préférable	agile
préféré	absent
présent	absent
prêt	absent
prévu	absent
primaire	agile
prochain	absent
proche	agile
profond	absent
propre	agile
propriétaire	agile
protecteur	inventeur
provocant	absent
psychiatrique	agile
puissant	absent
pur	absent
quelconque	agile
radio	agile
rapide	agile
rare	agile
rayé	absent
reculé	absent
récurrent	absent
redoutable	agile
réel	ancien
rentrant	absent
répugnant	absent
résistant	absent
résonnant	absent
respectable	agile
respectif	attentif
restant	absent
retentissant	absent
riant	absent
riche	agile
risqué	absent
robotique	agile
robuste	agile
romain	absent
rond	absent
rose	agile
rouge	agile
roux	faux
royal	égal
rusé	absent
russe	agile
sage	agile
sain	absent
sale	agile
sanglant	absent
satanique	agile
sauf	attentif
sauvage	agile
scientifique	agile
sec	sec
secret	complet
semblable	agile
sérieux	affreux
serviable	agile
seul	absent
sévère	agile
silencieux	affreux
simple	agile
sinistre	agile
social	égal
soi-disant	furax
solide	agile
sombre	agile
somptueux	affreux
sonore	agile
sophistiqué	absent
sot	ancien
soudain	absent
souffrant	absent
souple	agile
sourd	absent
spatial	absent
spécial	égal
spécifique	agile
splendide	agile
stupide	agile
stylé	absent
sublime	agile
suivant	absent
super	agile
superbe	agile
supérieur	absent
sûr	absent
surnaturel	ancien
surpris	gris
surpuissant	absent
sympa	agile
sympathique	agile
tacheté	absent
tendre	agile
tendu	absent
terrible	agile
terrifiant	absent
têtu	absent
tigré	absent
timide	agile
tombé	absent
tordu	absent
total	égal
tragique	agile
tranquille	agile
transparent	absent
triangulaire	agile
travailleur	menteur
triste	agile
tropical	égal
tue-mouche	furax
utile	agile
vaillant	absent
vengeur	vengeur
venimeux	affreux
venu	absent
vert	absent
vétérinaire	agile
veuf	attentif
victorieux	affreux
vide	agile
vieux	vieux
vif	attentif
vilain	absent
villageois	gris
violent	absent
violet	ancien
visible	agile
vital	égal
vite	agile
vivant	absent
voisin	absent
volant	absent
voleur	menteur
vrai	absent
vulgaire	agile
