lemme	base	flex_genre	flex_nb	genre_nb
absent	absent	_	_	m,s
absent	absent	_	s	m,p
absent	absent	e	_	f,s
absent	absent	e	s	f,p
agile	agile	_	_	_,s
agile	agile	_	s	_,p
affreux	affreux	_	_	m,_
affreux	affreus	e	_	f,s
affreux	affreus	e	s	f,p
ancien	ancien	_	_	m,s
ancien	ancien	_	s	m,p
ancien	ancienn	e	_	f,s
ancien	ancienn	e	s	f,p
attentif	attentif	_	_	m,s
attentif	attentif	_	s	m,p
attentif	attentiv	e	_	f,s
attentif	attentiv	e	s	f,p
bas	bas	_	_	m,_
bas	bass	e	_	f,s
bas	bass	e	s	f,p
beau	beau	_	_	m,s
beau	beau	_	x	m,p
beau	bell	e	_	f,s
beau	bell	e	s	f,p
bée	bée	_	_	f,s
bée	bée	_	s	f,p
blanc	blanc	_	_	m,s
blanc	blanc	_	s	m,p
blanc	blanch	e	_	f,s
blanc	blanch	e	s	f,p
bonhomme	bonhomme	_	_	m,s
bonhomme	bonhomme	_	s	m,p
bref	bref	_	_	m,s
bref	bref	_	s	m,p
bref	brèv	e	_	f,s
bref	brèv	e	s	f,p
complet	complet	_	_	m,s
complet	complet	_	s	m,p
complet	complèt	e	_	f,s
complet	complèt	e	s	f,p
copain	copain	_	_	m,s
copain	copain	_	s	m,p
copain	copin	e	_	f,s
copain	copin	e	s	f,p
doux	doux	_	_	m,_
doux	douc	e	_	f,s
doux	douc	e	s	f,p
égal	égal	_	_	m,s
égal	éga	_	ux	m,p
égal	égal	e	_	f,s
égal	égal	e	s	f,p
faux	faux	_	_	m,_
faux	fauss	e	_	f,s
faux	fauss	e	s	f,p
favori	favori	_	_	m,s
favori	favori	_	s	m,p
favori	favorit	e	_	f,s
favori	favorit	e	s	f,p
fou	fou	_	_	m,s
fou	fou	_	x	m,p
fou	foll	e	_	f,s
fou	foll	e	s	f,p
furax	furax	_	_	_,_
gris	gris	_	_	m,_
gris	gris	e	_	f,s
gris	gris	e	s	f,p
inventeur	inventeur	_	_	m,s
inventeur	inventeur	_	s	m,p
inventeur	inventric	e	_	f,s
inventeur	inventric	e	s	f,p
long	long	_	_	m,s
long	long	_	s	m,p
long	longu	e	_	f,s
long	longu	e	s	f,p
malin	malin	_	_	m,s
malin	malin	_	s	m,p
malin	malign	e	_	f,s
malin	malign	e	s	f,p
menteur	menteur	_	_	m,s
menteur	menteur	_	s	m,p
menteur	menteus	e	_	f,s
menteur	menteus	e	s	f,p
sec	sec	_	_	m,s
sec	sec	_	s	m,p
sec	sèch	e	_	f,s
sec	sèch	e	s	f,p
vengeur	vengeur	_	_	m,s
vengeur	vengeur	_	s	m,p
vengeur	vengeress	e	_	f,s
vengeur	vengeress	e	s	f,p
vieux	vieux	_	_	m,_
vieux	vieill	e	_	f,s
vieux	vieill	e	s	f,p
