IdProd	IdEleve	IdClasse	Niv	LongProd	IdTokNorm	Lemme	Catégorie	SegNorm	SegTrans	IdTokTrans	IdSegTrans	StatutErreur	StatutSegm	Genre	Nombre	Infover	baseAtt	flexGenreAtt	flexNbAtt	baseProd	flexGenreProd	flexNbProd	ErrBase	ErrFlexGenre	ErrFlexNb
CO-3e-2018-VTAC305-D1-R9-V1_3EME	CO-3e-2018-VTAC305-D1-R9-V1		3EME	500	8	jeune	ADJ	jeune	jeune	8	1	01-Normé	01-Normé	_	s	_	jeune	_	_	jeune	_	_	0	0	0
CO-3e-2018-VTAC305-D1-R9-V1_3EME	CO-3e-2018-VTAC305-D1-R9-V1		3EME	500	17	petit	ADJ	petite	petite	17	1	01-Normé	01-Normé	f	s	_	petit	e	_	petit	e	_	0	0	0
CO-3e-2018-VTAC305-D1-R9-V1_3EME	CO-3e-2018-VTAC305-D1-R9-V1		3EME	500	35	jeune	ADJ	jeune	jeune	35	1	01-Normé	01-Normé	_	s	_	jeune	_	_	jeune	_	_	0	0	0
CO-3e-2018-VTAC305-D1-R9-V1_3EME	CO-3e-2018-VTAC305-D1-R9-V1		3EME	500	93	français	ADJ	français	français	93	1	01-Normé	01-Normé	m	_	_	français	_	_	français	_	_	0	0	0
CO-3e-2018-VTAC305-D1-R9-V1_3EME	CO-3e-2018-VTAC305-D1-R9-V1		3EME	500	358	obscur	ADJ	obscure	obscure	358	1	01-Normé	01-Normé	f	s	_	obscur	e	_	obscur	e	_	0	0	0
CO-3e-2018-VTAC305-D1-R9-V1_3EME	CO-3e-2018-VTAC305-D1-R9-V1		3EME	500	360	étroit	ADJ	étroite	étroite	360	1	01-Normé	01-Normé	f	s	_	étroit	e	_	étroit	e	_	0	0	0
CO-3e-2018-VTAC305-D1-R9-V1_3EME	CO-3e-2018-VTAC305-D1-R9-V1		3EME	500	362	effrayant	ADJ	effrayante	effrayante	362	1	01-Normé	01-Normé	f	s	_	effrayant	e	_	effrayant	e	_	0	0	0
CO-3e-2018-VTAC305-D1-R9-V1_3EME	CO-3e-2018-VTAC305-D1-R9-V1		3EME	500	423	grand	ADJ	grand	grand	423	1	01-Normé	01-Normé	m	s	_	grand	_	_	grand	_	_	0	0	0
CO-3e-2018-VTAC305-D1-R9-V1_3EME	CO-3e-2018-VTAC305-D1-R9-V1		3EME	500	445	possible	ADJ	possible	possible	445	1	01-Normé	01-Normé	_	s	_	possible	_	_	possible	_	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	10	joli	ADJ	joli	joli	10	1	01-Normé	01-Normé	m	s	_	joli	_	_	joli	_	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	19	étrange	ADJ	étrange	étrange	19	1	01-Normé	01-Normé	_	s	_	étrange	_	_	étrange	_	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	29	innocent	ADJ	innocent	innocent	29	1	01-Normé	01-Normé	m	s	_	innocent	_	_	innocent	_	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	38	juste	ADJ	juste	juste	38	1	01-Normé	01-Normé	_	s	_	juste	_	_	juste	_	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	94	grand	ADJ	grande	grande	94	1	01-Normé	01-Normé	f	s	_	grand	e	_	grand	e	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	99	seul	ADJ	seule	seule	99	1	01-Normé	01-Normé	f	s	_	seul	e	_	seul	e	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	130	vieux	ADJ	vieille	vieille	130	1	01-Normé	01-Normé	f	s	_	vieill	e	_	vieill	e	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	142	même	ADJ	même	même	142	1	01-Normé	01-Normé	_	s	_	même	_	_	même	_	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	150	mécanique	ADJ	mécanique	mécanique	150	1	01-Normé	01-Normé	_	s	_	mécanique	_	_	mécanique	_	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	180	primaire	ADJ	primaire	primaire	180	1	01-Normé	01-Normé	_	s	_	primaire	_	_	primaire	_	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	190	autre	ADJ	autres	autres	190	1	01-Normé	01-Normé	_	p	_	autre	_	s	autre	_	s	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	207	grand	ADJ	grande	grande	207	1	01-Normé	01-Normé	f	s	_	grand	e	_	grand	e	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	225	venu	ADJ	venu	venu	225	1	01-Normé	01-Normé	m	s	_	venu	_	_	venu	_	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	250	violet	ADJ	violet	violet	250	1	01-Normé	01-Normé	m	s	_	violet	_	_	violet	_	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	271	fermé	ADJ	fermés	fermé	271	1	02-Phono	01-Normé	m	p	_	fermé	_	s	fermé	_	_	0	0	1
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	277	venu	ADJ	venu	venu	277	1	01-Normé	01-Normé	m	s	_	venu	_	_	venu	_	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	336	mauvais	ADJ	mauvaise	mauvaise	336	1	01-Normé	01-Normé	f	s	_	mauvais	e	_	mauvais	e	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	358	autre	ADJ	autres	autres	358	1	01-Normé	01-Normé	_	p	_	autre	_	s	autre	_	s	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	381	flippant	ADJ	flippante	flippante	381	1	01-Normé	01-Normé	f	s	par:pre;	flippant	e	_	flippant	e	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	447	sûr	ADJ	sûr	sûr	447	1	01-Normé	01-Normé	m	s	_	sûr	_	_	sûr	_	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	461	sombre	ADJ	sombre	sombre	461	1	01-Normé	01-Normé	_	s	_	sombre	_	_	sombre	_	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	486	grand	ADJ	grand	grand	486	1	01-Normé	01-Normé	m	s	_	grand	_	_	grand	_	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	506	grand	ADJ	grand	grand	506	1	01-Normé	01-Normé	m	s	_	grand	_	_	grand	_	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	524	petit	ADJ	petit	petit	524	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	550	gamin	ADJ	gamin	gamin	550	1	01-Normé	01-Normé	m	s	_
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	564	petit	ADJ	petit	petit	564	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
