IdProd	IdEleve	IdClasse	Niv	LongProd	IdTokNorm	Lemme	Catégorie	SegNorm	SegTrans	IdTokTrans	IdSegTrans	StatutErreur	StatutSegm	Genre	Nombre	Infover	baseAtt	flexGenreAtt	flexNbAtt	baseProd	flexGenreProd	flexNbProd	ErrBase	ErrFlexGenre	ErrFlexNb
2000_CE1	2000		CE1	143	49	noir	ADJ	noire	noir	47	1	02-Phono	01-Normé	f	s	_	noir	e	_	noir	_	_	0	1	0
2000_CE1	2000		CE1	143	69	noir	ADJ	noire	noir	67	1	02-Phono	01-Normé	f	s	_	noir	e	_	noir	_	_	0	1	0
2000_CE1	2000		CE1	143	80	tranquille	ADJ	tranquille	tranquile	78	1	02-Phono	01-Normé	_	s	_	tranquille	_	_	tranquile	_	_	1	0	0
2000_CE1	2000		CE1	143	122	grand	ADJ	grand	grand	120	1	01-Normé	01-Normé	m	s	_	grand	_	_	grand	_	_	0	0	0
2978_CE1	2978		CE1	124	5	petit	ADJ	petit	petit	5	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
2978_CE1	2978		CE1	124	47	heureux	ADJ	heureux	eurheux	47	1	02-Phono	01-Normé	m	_	_	heureux	_	_	eurheux	_	_	1	0	0
2978_CE1	2978		CE1	124	56	petit	ADJ	petit	petit	56	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
2978_CE1	2978		CE1	124	58	mignon	ADJ	mignon	mignon	58	1	01-Normé	01-Normé	m	s	_	mignon	_	_	mignon	_	_	0	0	0
2978_CE1	2978		CE1	124	70	gentil	ADJ	gentille	gentille	70	1	01-Normé	01-Normé	f	s	_	gentill	e	_	gentill	e	_	0	0	0
2978_CE1	2978		CE1	124	90	bon	ADJ	bon	bon	90	1	01-Normé	01-Normé	m	s	_	bon	_	_	bon	_	_	0	0	0
2978_CE1	2978		CE1	124	102	bon	ADJ	bonne	bonne	102	1	01-Normé	01-Normé	f	s	_	bonn	e	_	bonn	e	_	0	0	0
2978_CE1	2978		CE1	124	107	gentil	ADJ	gentille	gentille	107	1	01-Normé	01-Normé	f	s	_	gentill	e	_	gentill	e	_	0	0	0
2978_CE1	2978		CE1	124	111	bon	ADJ	bonne	bonne	111	1	01-Normé	01-Normé	f	s	_	bonn	e	_	bonn	e	_	0	0	0
2978_CE1	2978		CE1	124	122	gentil	ADJ	gentille	gentille	122	1	01-Normé	01-Normé	f	s	_	gentill	e	_	gentill	e	_	0	0	0
