IdProd	IdEleve	IdClasse	Niv	LongProd	IdTokNorm	Lemme	Catégorie	SegNorm	SegTrans	IdTokTrans	IdSegTrans	StatutErreur	StatutSegm	Genre	Nombre	Infover	baseAtt	flexGenreAtt	flexNbAtt	baseProd	flexGenreProd	flexNbProd	ErrBase	ErrFlexGenre	ErrFlexNb
1850_CM1	1850		CM1	106	17	meilleur	ADJ	meilleurs	meilleur	17	1	02-Phono	01-Normé	m	p	_	meilleur	_	s	meilleur	_	_	0	0	1
1850_CM1	1850		CM1	106	46	maléfique	ADJ	maléfique	maléfique	46	1	01-Normé	01-Normé	_	s	_	maléfique	_	_	maléfique	_	_	0	0	0
1850_CM1	1850		CM1	106	63	pire	ADJ	pires	pirs	63	1	02-Phono	01-Normé	_	p	_	pire	_	s	pir	_	s	1	0	0
1850_CM1	1850		CM1	106	87	seul	ADJ	seul	seul	87	1	01-Normé	01-Normé	m	s	_	seul	_	_	seul	_	_	0	0	0
1850_CM1	1850		CM1	106	94	noir	ADJ	noire	noir	94	1	02-Phono	01-Normé	f	s	_	noir	e	_	noir	_	_	0	1	0
1850_CM1	1850		CM1	106	102	ami	ADJ	amis	amies	102	1	02-Phono	01-Normé	m	p	_	ami	_	s	ami	e	s	0	1	0
831_CM1	831		CM1	362	28	jeune	ADJ	jeune	jeune	28	1	01-Normé	01-Normé	_	s	_	jeune	_	_	jeune	_	_	0	0	0
831_CM1	831		CM1	362	39	quelconque	ADJ	quelconque	quelquonque	39	1	02-Phono	01-Normé	_	s	_	quelconque	_	_	quelquonque	_	_	1	0	0
831_CM1	831		CM1	362	57	vieux	ADJ	vieux	vieux	57	1	01-Normé	01-Normé	m	_	_	vieux	_	_	vieux	_	_	0	0	0
831_CM1	831		CM1	362	80	désagréable	ADJ	désagréable	désagréable	80	1	01-Normé	01-Normé	_	s	_	désagréable	_	_	désagréable	_	_	0	0	0
831_CM1	831		CM1	362	104	lourd	ADJ	lourdes	lourdes	104	1	01-Normé	01-Normé	f	p	_	lourd	e	s	lourd	e	s	0	0	0
831_CM1	831		CM1	362	115	énorme	ADJ	énorme	énorme	115	1	01-Normé	01-Normé	_	s	_	énorme	_	_	énorme	_	_	0	0	0
831_CM1	831		CM1	362	131	gros	ADJ	grosse	grosse	131	1	01-Normé	01-Normé	f	s	_	gross	e	_	gross	e	_	0	0	0
831_CM1	831		CM1	362	144	bon	ADJ	bon	bon	144	1	01-Normé	01-Normé	m	s	_	bon	_	_	bon	_	_	0	0	0
831_CM1	831		CM1	362	182	grand	ADJ	grande	grande	182	1	01-Normé	01-Normé	f	s	_	grand	e	_	grand	e	_	0	0	0
831_CM1	831		CM1	362	269	félin	ADJ	félin	félin	269	1	01-Normé	01-Normé	m	s	_
831_CM1	831		CM1	362	322	fort	ADJ	fort	fort	322	1	01-Normé	01-Normé	m	s	_	fort	_	_	fort	_	_	0	0	0
831_CM1	831		CM1	362	326	rusé	ADJ	rusé	rusé	326	1	01-Normé	01-Normé	m	s	_	rusé	_	_	rusé	_	_	0	0	0
831_CM1	831		CM1	362	328	souple	ADJ	souple	souple	328	1	01-Normé	01-Normé	_	s	_	souple	_	_	souple	_	_	0	0	0
831_CM1	831		CM1	362	341	mauvais	ADJ	mauvaise	mauvaise	341	1	01-Normé	01-Normé	f	s	_	mauvais	e	_	mauvais	e	_	0	0	0
2446_CM1	2446		CM1	253	14	ami	ADJ	amis	ami	14	1	02-Phono	01-Normé	m	p	_	ami	_	s	ami	_	_	0	0	1
2446_CM1	2446		CM1	253	127	sale	ADJ	sale	sale	123	1	01-Normé	01-Normé	_	s	_	sale	_	_	sale	_	_	0	0	0
2446_CM1	2446		CM1	253	249	juste	ADJ	juste	juste	244	1	01-Normé	01-Normé	_	s	_	juste	_	_	juste	_	_	0	0	0
936_CM1	936		CM1	35	7	petit	ADJ	petit	petit	6	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
936_CM1	936		CM1	35	16	grave	ADJ	grave	grave	15	1	01-Normé	01-Normé	_	s	_	grave	_	_	grave	_	_	0	0	0
815_CM1	815		CM1	82	48	magique	ADJ	magique	magique	48	1	01-Normé	01-Normé	_	s	_	magique	_	_	magique	_	_	0	0	0
815_CM1	815		CM1	82	66	pouf	ADJ	pouf	pouf	66	1	01-Normé	01-Normé	m	s	_
815_CM1	815		CM1	82	69	normal	ADJ	normal	normale	69	1	02-Phono	01-Normé	m	s	_	normal	_	_	normal	e	_	0	1	0
1143_CM1	1143		CM1	90	17	seul	ADJ	seul	seul	17	1	01-Normé	01-Normé	m	s	_	seul	_	_	seul	_	_	0	0	0
1143_CM1	1143		CM1	90	38	jeune	ADJ	jeune	jeune	38	1	01-Normé	01-Normé	_	s	_	jeune	_	_	jeune	_	_	0	0	0
1143_CM1	1143		CM1	90	42	rouge	ADJ	rouge	rouge	42	1	01-Normé	01-Normé	_	s	_	rouge	_	_	rouge	_	_	0	0	0
1143_CM1	1143		CM1	90	52	petit	ADJ	petit	petit	55	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1143_CM1	1143		CM1	90	54	rouge	ADJ	rouge	rouge	57	1	01-Normé	01-Normé	_	s	_	rouge	_	_	rouge	_	_	0	0	0
1143_CM1	1143		CM1	90	61	gentil	ADJ	gentille	gentille	64	1	01-Normé	01-Normé	f	s	_	gentill	e	_	gentill	e	_	0	0	0
1143_CM1	1143		CM1	90	70	beau	ADJ	belle	belle	74	1	01-Normé	01-Normé	f	s	_	bell	e	_	bell	e	_	0	0	0
1143_CM1	1143		CM1	90	79	beau	ADJ	belle	belle	83	1	01-Normé	01-Normé	f	s	_	bell	e	_	bell	e	_	0	0	0
2973_CM1	2973		CM1	177	32	bizarre	ADJ	bizarre	bizare	32	1	02-Phono	01-Normé	_	s	_	bizarre	_	_	bizare	_	_	1	0	0
2973_CM1	2973		CM1	177	38	humain	ADJ	humain	humain	38	1	01-Normé	01-Normé	m	s	_	humain	_	_	humain	_	_	0	0	0
2973_CM1	2973		CM1	177	42	bleu	ADJ	bleu	bleu	42	1	01-Normé	01-Normé	m	s	_	bleu	_	_	bleu	_	_	0	0	0
2973_CM1	2973		CM1	177	46	orange	ADJ	orange	orange	46	1	01-Normé	01-Normé	_	s	_	orange	_	_	orange	_	_	0	0	0
2973_CM1	2973		CM1	177	101	allergique	ADJ	allergique	alèrgique	101	1	02-Phono	01-Normé	_	s	_	allergique	_	_	alèrgique	_	_	1	0	0
584_CM1	584		CM1	78	12	appelé	ADJ	appelée	appelé	12	1	02-Phono	01-Normé	f	s	par:pas;	appelé	e	_	appelé	_	_	0	1	0
584_CM1	584		CM1	78	25	bête	ADJ	bête	bête	25	1	01-Normé	01-Normé	_	s	_	bête	_	_	bête	_	_	0	0	0
584_CM1	584		CM1	78	61	gaga	ADJ	gaga	gaga	60	1	01-Normé	01-Normé	_	s	_	gaga	_	_	gaga	_	_	0	0	0
584_CM1	584		CM1	78	65	déçu	ADJ	déçu	déssus	64	1	02-Phono	01-Normé	m	s	_	déçu	_	_	déssu	_	s	1	0	1
584_CM1	584		CM1	78	70	heureux	ADJ	heureuse	heurheuse	69	1	02-Phono	01-Normé	f	s	_	heureus	e	_	heurheus	e	_	1	0	0
821_CM1	821		CM1	147	19	gros	ADJ	gros	gros	19	1	01-Normé	01-Normé	m	_	_	gros	_	_	gros	_	_	0	0	0
821_CM1	821		CM1	147	109	intelligent	ADJ	intelligent	intéligent	106	1	03-Archi	01-Normé	m	s	_	intelligent	_	_	intéligent	_	_	1	0	0
1226_CM1	1226		CM1	166	8	petit	ADJ	petit	petit	8	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1226_CM1	1226		CM1	166	42	mauvais	ADJ	mauvais	mauvais	42	1	01-Normé	01-Normé	m	_	_	mauvais	_	_	mauvais	_	_	0	0	0
1226_CM1	1226		CM1	166	80	beau	ADJ	beau	beaux	81	1	02-Phono	01-Normé	m	s	_	beau	_	_	beau	_	x	0	0	1
1991_CM1	1991		CM1	138	18	méchant	ADJ	méchant	méchant	18	1	01-Normé	01-Normé	m	s	_	méchant	_	_	méchant	_	_	0	0	0
1991_CM1	1991		CM1	138	24	autre	ADJ	autre	autre	24	1	01-Normé	01-Normé	_	s	_	autre	_	_	autre	_	_	0	0	0
1991_CM1	1991		CM1	138	47	gentil	ADJ	gentil	gentil	47	1	01-Normé	01-Normé	m	s	_	gentil	_	_	gentil	_	_	0	0	0
1991_CM1	1991		CM1	138	117	grand	ADJ	grand	grand	116	1	01-Normé	01-Normé	m	s	_	grand	_	_	grand	_	_	0	0	0
1991_CM1	1991		CM1	138	122	grand	ADJ	grande	grandes	121	1	02-Phono	01-Normé	f	s	_	grand	e	_	grand	e	s	0	0	1
1985_CM1	1985		CM1	197	8	gentil	ADJ	gentil	gentil	8	1	01-Normé	01-Normé	m	s	_	gentil	_	_	gentil	_	_	0	0	0
1985_CM1	1985		CM1	197	34	timide	ADJ	timide	dimide	34	1	04-ApproxGraphique	01-Normé	_	s	_	timide	_	_	dimide	_	_	1	0	0
1985_CM1	1985		CM1	197	54	cher	ADJ	chère	chère	54	1	01-Normé	01-Normé	f	s	_	chèr	e	_	chèr	e	_	0	0	0
1985_CM1	1985		CM1	197	55	ami	ADJ	amie	amie	55	1	01-Normé	01-Normé	f	s	_	ami	e	_	ami	e	_	0	0	0
1985_CM1	1985		CM1	197	70	courageux	ADJ	courageux	courageu	70	1	02-Phono	01-Normé	m	_	_	courageux	_	_	courageu	_	_	1	0	0
1985_CM1	1985		CM1	197	81	courageux	ADJ	courageux	courageu	81	1	02-Phono	01-Normé	m	_	_	courageux	_	_	courageu	_	_	1	0	0
1985_CM1	1985		CM1	197	91	timide	ADJ	timide	timide	91	1	01-Normé	01-Normé	_	s	_	timide	_	_	timide	_	_	0	0	0
1985_CM1	1985		CM1	197	96	timide	ADJ	timide	dimid	96	1	04-ApproxGraphique	01-Normé	_	s	_	timide	_	_	dimid	_	_	1	0	0
1985_CM1	1985		CM1	197	125	timide	ADJ	timide	timide	126	1	01-Normé	01-Normé	_	s	_	timide	_	_	timide	_	_	0	0	0
1985_CM1	1985		CM1	197	188	même	ADJ	même	même	189	1	01-Normé	01-Normé	_	s	_	même	_	_	même	_	_	0	0	0
2937_CM1	2937		CM1	101	7	mignon	ADJ	mignon	mignon	7	1	01-Normé	01-Normé	m	s	_	mignon	_	_	mignon	_	_	0	0	0
2937_CM1	2937		CM1	101	18	VRAI	ADJ	VRAI	VRAI	18	1	01-Normé	01-Normé	m	s	_	vrai	_	_	vrai	_	_	0	0	0
2937_CM1	2937		CM1	101	32	autre	ADJ	autre	autre	32	1	01-Normé	01-Normé	_	s	_	autre	_	_	autre	_	_	0	0	0
2937_CM1	2937		CM1	101	36	appelé	ADJ	appelée	appellé	36	1	04-ApproxGraphique	01-Normé	f	s	par:pas;	appelé	e	_	appellé	_	_	1	1	0
2937_CM1	2937		CM1	101	40	méchant	ADJ	méchante	méchante	40	1	01-Normé	01-Normé	f	s	_	méchant	e	_	méchant	e	_	0	0	0
