IdProd	IdEleve	IdClasse	Niv	LongProd	IdTokNorm	Lemme	Catégorie	SegNorm	SegTrans	IdTokTrans	IdSegTrans	StatutErreur	StatutSegm	Genre	Nombre	Infover
815_CP	815		CP	36	1	<s>	[ZTRM->EXCEPTION]	<s>	<s>	1	1	01-Normé	01-Normé	_	_	_
815_CP	815		CP	36	2	un	DET:ART	Un	un	2	1	01-Normé	01-Normé	m	s	_
815_CP	815		CP	36	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_
815_CP	815		CP	36	4	chat	NOM	chat	cha	4	1	02-Phono	01-Normé	m	s	_
815_CP	815		CP	36	5	tomber	VER:pres	tombe	donbe	5	1	04-ApproxGraphique	01-Normé	_	_	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;
815_CP	815		CP	36	6	de	PRP	d'	de	6	1	04-ApproxGraphique	01-Normé	_	_	_
815_CP	815		CP	36	7	un	DET:ART	une	une	7	1	01-Normé	01-Normé	f	s	_
815_CP	815		CP	36	8	marche	NOM	marche	marque	8	1	04-ApproxGraphique	01-Normé	f	s	_
815_CP	815		CP	36	9	et	KON	et	é	9	1	02-Phono	01-Normé	_	_	_
815_CP	815		CP	36	10	se	PRO:PER	se	cefaimale	10	1	02-Phono	03-HypoSeg	_	_	_
815_CP	815		CP	36	11	faire	VER:pres	fait	cefaimale	10	2	02-Phono	03-HypoSeg	m	s	ind:pre:3s;par:pas;par:pas;
815_CP	815		CP	36	12	mal	ADV	mal	cefaimale	10	3	02-Phono	03-HypoSeg	_	_	_
815_CP	815		CP	36	13	et	KON	et	ai	11	1	03-Archi	01-Normé	_	_	_
815_CP	815		CP	36	14	pleure	NOM	pleure	plere	12	1	04-ApproxGraphique	01-Normé	_	_	_
815_CP	815		CP	36	15	et	KON	et	et	13	1	01-Normé	01-Normé	_	_	_
815_CP	815		CP	36	16	le	DET:ART	la	la	14	1	01-Normé	01-Normé	f	s	_
815_CP	815		CP	36	17	maman	NOM	maman	maman	15	1	01-Normé	01-Normé	f	s	_
815_CP	815		CP	36	18	se	PRO:PER	se	cerai	16	1	07-Non normé	05-Non pertinent	_	_	_
815_CP	815		CP	36	19	réveiller	VER:pres	réveille	véy	17	1	07-Non normé	05-Non pertinent	_	_	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;sub:pre:3s;
815_CP	815		CP	36	20	et	KON	et	ai	18	1	03-Archi	01-Normé	_	_	_
815_CP	815		CP	36	21	le	DET:ART	la	la	19	1	01-Normé	01-Normé	f	s	_
815_CP	815		CP	36	22	maman	NOM	maman	maman	20	1	01-Normé	01-Normé	f	s	_
815_CP	815		CP	36	23	le	PRO:PER	le	le	21	1	01-Normé	01-Normé	m	s	_
815_CP	815		CP	36	24	prendre	VER:pres	prend	pran	22	1	02-Phono	01-Normé	_	_	ind:pre:3s;
815_CP	815		CP	36	25	et	KON	et	ailenmene	23	1	05-ApproxPhono	03-HypoSeg	_	_	_
815_CP	815		CP	36	26	la|le	PRO:PER	l'	ailenmene	23	2	05-ApproxPhono	03-HypoSeg	_	s	_
815_CP	815		CP	36	27	emmener	VER:pres	emmène	ailenmene	23	3	05-ApproxPhono	03-HypoSeg	_	_	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;
815_CP	815		CP	36	28	vers	PRP	vers	vre	24	1	06-ApproxArchi	01-Normé	_	_	_
815_CP	815		CP	36	29	le	DET:ART	les	lé	25	1	02-Phono	01-Normé	_	p	_
815_CP	815		CP	36	30				s	26	1	08-Non pertinent	07-Inséré	_	_	_
815_CP	815		CP	36	31	autre	ADJ	autres	sotre	27	1	05-ApproxPhono	01-Normé	_	p	_
815_CP	815		CP	36	32	et	KON	et	et	28	1	01-Normé	01-Normé	_	_	_
815_CP	815		CP	36	33	<omission type=&"pronom&"/>	[BAL]	<omission type=&"pronom&"/>		29	1	08-Non pertinent	06-Omis	_	_	_
815_CP	815		CP	36	34				sen	30	1	08-Non pertinent	07-Inséré	_	_	_
815_CP	815		CP	36	35	se	PRO:PER	s'	drome	31	1	07-Non normé	05-Non pertinent	_	_	_
815_CP	815		CP	36	36	endormir	VER:pres	endorment		32	1	08-Non pertinent	06-Omis	_	_	ind:pre:3p;
815_CP	815		CP	36	37	.	SENT	.		33	1	08-Non pertinent	06-Omis	_	_	_
815_CP	815		CP	36	38	</s>	[ZTRM->EXCEPTION]	</s>	</s>	34	1	01-Normé	01-Normé	_	_	_
815_CP	815		CP	36	39	<FIN>	[]	<FIN>	<FIN>	35	1	01-Normé	01-Normé	_	_	_
1560_CP	1560		CP	26	1	<s>	[ZTRM->EXCEPTION]	<s>	<s>	1	1	01-Normé	01-Normé	_	_	_
1560_CP	1560		CP	26	2	il	PRO:PER	Il	il	2	1	01-Normé	01-Normé	m	s	_
1560_CP	1560		CP	26	3	être	VER:impf	était	été	3	1	03-Archi	01-Normé	_	_	ind:imp:3s;
1560_CP	1560		CP	26	4	un	DET:ART	une	une	4	1	01-Normé	01-Normé	f	s	_
1560_CP	1560		CP	26	5	foi|fois	NOM	fois	fois	5	1	01-Normé	01-Normé	f	p	_
1560_CP	1560		CP	26	6	un	DET:ART	un	un	6	1	01-Normé	01-Normé	m	s	_
1560_CP	1560		CP	26	7	petit	ADJ	petit	peti	7	1	02-Phono	01-Normé	m	s	_
1560_CP	1560		CP	26	8	chat	NOM	chat	chat	8	1	01-Normé	01-Normé	m	s	_
1560_CP	1560		CP	26	9	qui	PRO:REL	qui	qui	9	1	01-Normé	01-Normé	_	_	_
