IdProd	IdEleve	IdClasse	Niv	LongProd	IdTokNorm	Lemme	Catégorie	SegNorm	SegTrans	IdTokTrans	IdSegTrans	StatutErreur	StatutSegm	Genre	Nombre	Infover
CO-3e-2018-VTAC305-D1-R9-V1_3EME	CO-3e-2018-VTAC305-D1-R9-V1		3EME	500	8	jeune	ADJ	jeune	jeune	8	1	01-Normé	01-Normé	_	s	_
CO-3e-2018-VTAC305-D1-R9-V1_3EME	CO-3e-2018-VTAC305-D1-R9-V1		3EME	500	17	petit	ADJ	petite	petite	17	1	01-Normé	01-Normé	f	s	_
CO-3e-2018-VTAC305-D1-R9-V1_3EME	CO-3e-2018-VTAC305-D1-R9-V1		3EME	500	35	jeune	ADJ	jeune	jeune	35	1	01-Normé	01-Normé	_	s	_
CO-3e-2018-VTAC305-D1-R9-V1_3EME	CO-3e-2018-VTAC305-D1-R9-V1		3EME	500	93	français	ADJ	français	français	93	1	01-Normé	01-Normé	m	_	_
CO-3e-2018-VTAC305-D1-R9-V1_3EME	CO-3e-2018-VTAC305-D1-R9-V1		3EME	500	358	obscur	ADJ	obscure	obscure	358	1	01-Normé	01-Normé	f	s	_
CO-3e-2018-VTAC305-D1-R9-V1_3EME	CO-3e-2018-VTAC305-D1-R9-V1		3EME	500	360	étroit	ADJ	étroite	étroite	360	1	01-Normé	01-Normé	f	s	_
CO-3e-2018-VTAC305-D1-R9-V1_3EME	CO-3e-2018-VTAC305-D1-R9-V1		3EME	500	362	effrayant	ADJ	effrayante	effrayante	362	1	01-Normé	01-Normé	f	s	_
CO-3e-2018-VTAC305-D1-R9-V1_3EME	CO-3e-2018-VTAC305-D1-R9-V1		3EME	500	423	grand	ADJ	grand	grand	423	1	01-Normé	01-Normé	m	s	_
CO-3e-2018-VTAC305-D1-R9-V1_3EME	CO-3e-2018-VTAC305-D1-R9-V1		3EME	500	445	possible	ADJ	possible	possible	445	1	01-Normé	01-Normé	_	s	_
CO-3e-2018-FSBJC6-D1-R4-V1_3EME	CO-3e-2018-FSBJC6-D1-R4-V1		3EME	620	10	joli	ADJ	joli	joli	10	1	01-Normé	01-Normé	m	s	_
