IdProd	IdEleve	IdClasse	Niv	LongProd	IdTokNorm	Lemme	Catégorie	SegNorm	SegTrans	IdTokTrans	IdSegTrans	StatutErreur	StatutSegm	Genre	Nombre	Infover
2000_CE1	2000		CE1	143	49	noir	ADJ	noire	noir	47	1	02-Phono	01-Normé	f	s	_
2000_CE1	2000		CE1	143	69	noir	ADJ	noire	noir	67	1	02-Phono	01-Normé	f	s	_
2000_CE1	2000		CE1	143	80	tranquille	ADJ	tranquille	tranquile	78	1	02-Phono	01-Normé	_	s	_
2000_CE1	2000		CE1	143	122	grand	ADJ	grand	grand	120	1	01-Normé	01-Normé	m	s	_
2978_CE1	2978		CE1	124	5	petit	ADJ	petit	petit	5	1	01-Normé	01-Normé	m	s	_
2978_CE1	2978		CE1	124	47	heureux	ADJ	heureux	eurheux	47	1	02-Phono	01-Normé	m	_	_
2978_CE1	2978		CE1	124	51	<unknown>	ADJ	s	s	51	1	01-Normé	01-Normé	m	_	_
2978_CE1	2978		CE1	124	56	petit	ADJ	petit	petit	56	1	01-Normé	01-Normé	m	s	_
2978_CE1	2978		CE1	124	58	mignon	ADJ	mignon	mignon	58	1	01-Normé	01-Normé	m	s	_
2978_CE1	2978		CE1	124	70	gentil	ADJ	gentille	gentille	70	1	01-Normé	01-Normé	f	s	_
2978_CE1	2978		CE1	124	90	bon	ADJ	bon	bon	90	1	01-Normé	01-Normé	m	s	_
2978_CE1	2978		CE1	124	102	bon	ADJ	bonne	bonne	102	1	01-Normé	01-Normé	f	s	_
2978_CE1	2978		CE1	124	107	gentil	ADJ	gentille	gentille	107	1	01-Normé	01-Normé	f	s	_
2978_CE1	2978		CE1	124	111	bon	ADJ	bonne	bonne	111	1	01-Normé	01-Normé	f	s	_
2978_CE1	2978		CE1	124	117	<unknown>	ADJ	s	s	117	1	01-Normé	01-Normé	m	_	_
2978_CE1	2978		CE1	124	122	gentil	ADJ	gentille	gentille	122	1	01-Normé	01-Normé	f	s	_
1998_CE1	1998		CE1	167	24	plein	ADJ	plein	plein	24	1	01-Normé	01-Normé	m	s	_
1998_CE1	1998		CE1	167	30	gentil	ADJ	gentil	gentil	30	1	01-Normé	01-Normé	m	s	_
1998_CE1	1998		CE1	167	56	beau	ADJ	beau	beau	56	1	01-Normé	01-Normé	m	s	_
1998_CE1	1998		CE1	167	59	humain	ADJ	humain	humain	59	1	01-Normé	01-Normé	m	s	_
1998_CE1	1998		CE1	167	68	magnifique	ADJ	magnifique	magnifique	67	1	01-Normé	01-Normé	_	s	_
1998_CE1	1998		CE1	167	140	cool	ADJ	cool	coule	139	1	02-Phono	01-Normé	_	s	_
2450_CE1	2450		CE1	127	18	seul	ADJ	seule	seul	18	1	02-Phono	01-Normé	f	s	_
2450_CE1	2450		CE1	127	34	seul	ADJ	seule	seul	34	1	02-Phono	01-Normé	f	s	_
2450_CE1	2450		CE1	127	65	magique	ADJ	magique	magic	65	1	02-Phono	01-Normé	_	s	_
1953_CE1	1953		CE1	66	52	content	ADJ	contents	contan	59	1	02-Phono	01-Normé	m	p	_
1953_CE1	1953		CE1	66	55	fier	ADJ	fiers	ere	62	1	07-Non normé	05-Non pertinent	m	p	_
1627_CE1	1627		CE1	36	7	méchant	ADJ	méchante	méchante	7	1	01-Normé	01-Normé	f	s	_
1627_CE1	1627		CE1	36	12	beau	ADJ	beau	beau	12	1	01-Normé	01-Normé	m	s	_
1627_CE1	1627		CE1	36	14	noir	ADJ	noir	noir	14	1	01-Normé	01-Normé	m	s	_
1627_CE1	1627		CE1	36	26	autre	ADJ	autres	autres	26	1	01-Normé	01-Normé	_	p	_
