IdProd	IdEleve	IdClasse	Niv	LongProd	IdTokNorm	Lemme	Catégorie	SegNorm	SegTrans	IdTokTrans	IdSegTrans	StatutErreur	StatutSegm	Genre	Nombre	Infover
815_CP	815		CP	36	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_
815_CP	815		CP	36	31	autre	ADJ	autres	sotre	27	1	05-ApproxPhono	01-Normé	_	p	_
1560_CP	1560		CP	26	7	petit	ADJ	petit	peti	7	1	02-Phono	01-Normé	m	s	_
114_CP	114		CP	34	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_
114_CP	114		CP	34	12	petit	ADJ	petit	petit	12	1	01-Normé	01-Normé	m	s	_
2985_CP	2985		CP	64	10	malin	ADJ	malin	trémalin	8	2	03-Archi	03-HypoSeg	m	s	_
2985_CP	2985		CP	64	20	petit	ADJ	petit	petite	19	1	04-ApproxGraphique	01-Normé	m	s	_
2985_CP	2985		CP	64	57	petit	ADJ	petit	ptit	54	1	04-ApproxGraphique	01-Normé	m	s	_
1353_CP	1353		CP	30	7	petit	ADJ	petit	petit	7	1	01-Normé	01-Normé	m	s	_
2002_CP	2002		CP	66	7	petit	ADJ	petit	petit	7	1	01-Normé	01-Normé	m	s	_
2002_CP	2002		CP	66	35	sûr	ADJ	sûr	sur	35	1	02-Phono	01-Normé	m	s	_
1829_CP	1829		CP	57	8	petit	ADJ	petit	petit	8	1	01-Normé	01-Normé	m	s	_
1829_CP	1829		CP	57	23	autre	ADJ	autres	otre	23	1	03-Archi	01-Normé	_	p	_
1829_CP	1829		CP	57	24	petit	ADJ	petits	petit	24	1	02-Phono	01-Normé	m	p	_
1829_CP	1829		CP	57	36	mère	ADJ	mère	mère	36	1	01-Normé	01-Normé	f	s	_
1829_CP	1829		CP	57	41	petit	ADJ	petit	petit	41	1	01-Normé	01-Normé	m	s	_
1829_CP	1829		CP	57	45	petit	ADJ	petit	petit	45	1	01-Normé	01-Normé	m	s	_
1829_CP	1829		CP	57	55	mère	ADJ	mère	mère	55	1	01-Normé	01-Normé	f	s	_
2539_CP	2539		CP	50	8	petit	ADJ	petits	petit	8	1	02-Phono	01-Normé	m	p	_
2539_CP	2539		CP	50	12	petit	ADJ	petits	petit	12	1	02-Phono	01-Normé	m	p	_
1352_CP	1352		CP	48	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_
2531_CP	2531		CP	63	16	petit	ADJ	petit	petit	17	1	01-Normé	01-Normé	m	s	_
2531_CP	2531		CP	63	57	petit	ADJ	petit	petit	58	1	01-Normé	01-Normé	m	s	_
2531_CP	2531		CP	63	60	autre	ADJ	autres	autre	61	1	04-ApproxGraphique	01-Normé	_	p	_
1926_CP	1926		CP	52	7	petit	ADJ	petit	petit	7	1	01-Normé	01-Normé	m	s	_
1926_CP	1926		CP	52	36	fort	ADJ	fort	fore	35	1	02-Phono	01-Normé	m	s	_
52_CP	52		CP	78	23	petit	ADJ	petit	petit	23	1	01-Normé	01-Normé	m	s	_
52_CP	52		CP	78	37	petit	ADJ	petit	petit	37	1	01-Normé	01-Normé	m	s	_
52_CP	52		CP	78	54	petit	ADJ	petit	petit	54	1	01-Normé	01-Normé	m	s	_
52_CP	52		CP	78	62	petit	ADJ	petit	petit	62	1	01-Normé	01-Normé	m	s	_
52_CP	52		CP	78	75	petit	ADJ	petits	petit	75	1	02-Phono	01-Normé	m	p	_
3043_CP	3043		CP	43	8	petit	ADJ	petit	peuti	8	1	03-Archi	01-Normé	m	s	_
2809_CP	2809		CP	58	26	autre	ADJ	autre	lautre	25	2	02-Phono	03-HypoSeg	_	s	_
2809_CP	2809		CP	58	42	autre	ADJ	autre	lautre	39	2	02-Phono	03-HypoSeg	_	s	_
1320_CP	1320		CP	34	23	<unknown>	ADJ	aprés	apré	26	1	02-Phono	01-Normé	_	_	_
204_CP	204		CP	33	8	petit	ADJ	petite	pet	7	1	07-Non normé	05-Non pertinent	f	s	_
3042_CP	3042		CP	34	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_
3052_CP	3052		CP	19	3	petit	ADJ	petit	peti	3	1	02-Phono	01-Normé	m	s	_
864_CP	864		CP	48	43	fin	ADJ	fin	fin	42	1	01-Normé	01-Normé	m	s	_
1110_CP	1110		CP	25	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_
570_CP	570		CP	40	5	petit	ADJ	petit	petit	5	1	01-Normé	01-Normé	m	s	_
570_CP	570		CP	40	36	petit	ADJ	petit	petit	35	1	01-Normé	01-Normé	m	s	_
